group_class,filename,sel_idx,duration_sec,prob_meta
164889003,c:\UHull\ecg-xai\data\sample\A1968.mat,10,10.0,0.9784810543060303
164889003,c:\UHull\ecg-xai\data\sample\A5561.mat,39,10.0,0.9816387295722961
164889003,c:\UHull\ecg-xai\data\sample\A5589.mat,40,20.0,0.9812771081924438
426783006,c:\UHull\ecg-xai\data\sample\HR03482.mat,89,10.0,0.9801923036575317
426783006,c:\UHull\ecg-xai\data\sample\HR03494.mat,90,10.0,0.9265859723091125
426783006,c:\UHull\ecg-xai\data\sample\HR02806.mat,79,10.0,0.9841412901878357
426783006,c:\UHull\ecg-xai\data\sample\HR01921.mat,65,10.0,0.994553804397583
426783006,c:\UHull\ecg-xai\data\sample\HR04258.mat,96,10.0,0.9825268983840942
426783006,c:\UHull\ecg-xai\data\sample\HR02744.mat,77,10.0,0.8526338934898376
426783006,c:\UHull\ecg-xai\data\sample\HR00169.mat,45,10.0,0.9454888701438904
426783006,c:\UHull\ecg-xai\data\sample\HR00434.mat,49,10.0,0.9923213124275208
426783006,c:\UHull\ecg-xai\data\sample\HR03278.mat,85,10.0,0.8732354640960693
426783006,c:\UHull\ecg-xai\data\sample\HR02303.mat,69,10.0,0.8632743954658508
426783006,c:\UHull\ecg-xai\data\sample\A5386.mat,37,18.0,0.8946218490600586
426783006,c:\UHull\ecg-xai\data\sample\HR03247.mat,83,10.0,0.8849577307701111
426783006,c:\UHull\ecg-xai\data\sample\HR00329.mat,47,10.0,0.9134938716888428
426783006,c:\UHull\ecg-xai\data\sample\HR03352.mat,88,10.0,0.9191806316375732
426783006,c:\UHull\ecg-xai\data\sample\HR00431.mat,48,10.0,0.9934399127960205
426783006,c:\UHull\ecg-xai\data\sample\HR02327.mat,70,10.0,0.9907136559486389
426783006,c:\UHull\ecg-xai\data\sample\HR01910.mat,64,10.0,0.9625012278556824
426783006,c:\UHull\ecg-xai\data\sample\HR02349.mat,73,10.0,0.9395957589149475
426783006,c:\UHull\ecg-xai\data\sample\HR02939.mat,80,10.0,0.9968236088752747
426783006,c:\UHull\ecg-xai\data\sample\HR00013.mat,44,10.0,0.9878446459770203
426783006,c:\UHull\ecg-xai\data\sample\HR01214.mat,59,10.0,0.9819764494895935
426783006,c:\UHull\ecg-xai\data\sample\HR00799.mat,52,10.0,0.9891585111618042
426783006,c:\UHull\ecg-xai\data\sample\HR01383.mat,60,10.0,0.9858145713806152
426783006,c:\UHull\ecg-xai\data\sample\HR01655.mat,61,10.0,0.9875959157943726
426783006,c:\UHull\ecg-xai\data\sample\HR03254.mat,84,10.0,0.9152631759643555
426783006,c:\UHull\ecg-xai\data\sample\HR02662.mat,76,10.0,0.9965808987617493
426783006,c:\UHull\ecg-xai\data\sample\HR04184.mat,94,10.0,0.9937292337417603
426783006,c:\UHull\ecg-xai\data\sample\A0841.mat,6,20.0,0.8748549818992615
426783006,c:\UHull\ecg-xai\data\sample\HR02508.mat,75,10.0,0.9889506697654724
426783006,c:\UHull\ecg-xai\data\sample\HR03626.mat,93,10.0,0.8920468091964722
426783006,c:\UHull\ecg-xai\data\sample\HR00726.mat,51,10.0,0.9418737888336182
426783006,c:\UHull\ecg-xai\data\sample\HR02344.mat,71,10.0,0.863733172416687
426783006,c:\UHull\ecg-xai\data\sample\HR02776.mat,78,10.0,0.8990635871887207
426783006,c:\UHull\ecg-xai\data\sample\HR01094.mat,56,10.0,0.9911605715751648
426783006,c:\UHull\ecg-xai\data\sample\HR01101.mat,57,10.0,0.9925341606140137
426783006,c:\UHull\ecg-xai\data\sample\HR02292.mat,68,10.0,0.9556424021720886
426783006,c:\UHull\ecg-xai\data\sample\HR03201.mat,81,10.0,0.9668137431144714
426783006,c:\UHull\ecg-xai\data\sample\HR02379.mat,74,10.0,0.9749407172203064
426783006,c:\UHull\ecg-xai\data\sample\HR01859.mat,63,10.0,0.9934942722320557
426783006,c:\UHull\ecg-xai\data\sample\HR02070.mat,66,10.0,0.960528552532196
426783006,c:\UHull\ecg-xai\data\sample\HR00218.mat,46,10.0,0.9946630597114563
426783006,c:\UHull\ecg-xai\data\sample\HR02347.mat,72,10.0,0.9736447930335999
426783006,c:\UHull\ecg-xai\data\sample\HR01777.mat,62,10.0,0.9683789610862732
426783006,c:\UHull\ecg-xai\data\sample\HR03613.mat,92,10.0,0.8719003200531006
426783006,c:\UHull\ecg-xai\data\sample\HR03348.mat,87,10.0,0.9529281854629517
426783006,c:\UHull\ecg-xai\data\sample\HR00938.mat,55,10.0,0.8973806500434875
426783006,c:\UHull\ecg-xai\data\sample\HR04232.mat,95,10.0,0.9696345329284668
426783006,c:\UHull\ecg-xai\data\sample\HR00005.mat,43,10.0,0.9936804175376892
426783006,c:\UHull\ecg-xai\data\sample\HR03323.mat,86,10.0,0.9341400861740112
426783006,c:\UHull\ecg-xai\data\sample\HR00899.mat,53,10.0,0.9936791658401489
